term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-1.4428277797280984,0.0649490617341214,-22.214759400752044,2.47302739128401e-109,-1.5728848098645642,-1.3181193643466569
polity_iv,0.4576718391945935,0.010267044821236356,44.57678398831424,0,0.4380139973923864,0.4782861220282815
